"title","url","date","topics"
"May's Brexit Deal Fails for Third Time","https://www.allsides.com/story/mays-brexit-deal-fails-third-time","2019-03-29","Great Britain"
"Trump Looks to Focus on Healthcare Ahead of 2020","https://www.allsides.com/story/trump-looks-focus-healthcare-ahead-2020","2019-03-29","Healthcare"
"Trump and GOP Lawmakers Call On Adam Schiff To Resign","https://www.allsides.com/story/trump-and-gop-lawmakers-call-adam-schiff-resign","2019-03-28","US House"
"Green New Deal Dies in Senate","https://www.allsides.com/story/green-new-deal-dies-senate","2019-03-27","Environment"
"Charges Against Jussie Smollett Dropped","https://www.allsides.com/story/charges-against-jussie-smollett-dropped","2019-03-27","Culture"
"US Senate To Vote On Green New Deal","https://www.allsides.com/story/us-senate-vote-green-new-deal","2019-03-26","US Senate"
"Trump Admin Backs Court Ruling That Would Invalidate Obamacare","https://www.allsides.com/story/trump-admin-backs-court-ruling-would-invalidate-obamacare","2019-03-25","Healthcare"
"Mueller Report Changes Landscape for Trump","https://www.allsides.com/story/mueller-report-changes-landscape-trump","2019-03-25","White House"
"Mueller Report Finds No Trump-Russian Collusion","https://www.allsides.com/story/mueller-report-finds-no-trump-russian-collusion","2019-03-24","White House"
"Fight Against Islamic State Not Over After US-Allied Syrian Force Declare Victory","https://www.allsides.com/story/fight-against-islamic-state-not-over-after-us-allied-syrian-force-declare-victory","2019-03-24","ISIS"
"Democrats Demands Mueller Report be Released to the Public","https://www.allsides.com/story/democrats-demands-mueller-report-be-released-public","2019-03-23","Russia"
"Michigan to Stop Funding Adoption Agencies That Bar LGBT Couples","https://www.allsides.com/story/michigan-stop-funding-adoption-agencies-bar-lgbt-couples","2019-03-22","LGBT Rights"
"Brexit Delay Approved by EU","https://www.allsides.com/story/brexit-delay-approved-eu","2019-03-22","World"
"Trump To Sign Executive Order Tying Federal Grants To Free Speech on Campus","https://www.allsides.com/story/trump-sign-executive-order-tying-federal-grants-free-speech-campus","2019-03-21","Free Speech"
"New Zealand Prime Minister Announces Ban on Semi-Automatic Weapons After Deadly Attack","https://www.allsides.com/story/new-zealand-prime-minister-announces-ban-semi-automatic-weapons-after-deadly-attack","2019-03-20","Gun Control and Gun Rights"
"Supreme Court Endorses Government Authority To Detain Immigrants","https://www.allsides.com/story/supreme-court-endorses-government-authority-detain-immigrants","2019-03-20","Supreme Court"
"Trump Renews Attacks on John McCain","https://www.allsides.com/story/trump-renews-attacks-john-mccain","2019-03-19","Polarization"
"FBI And Robert Mueller Started Investigating Michael Cohen A Year Before Raid","https://www.allsides.com/story/fbi-and-robert-mueller-started-investigating-michael-cohen-year-raid","2019-03-19","FBI"
"Devin Nunes Sues Twitter, Users for Over $250M Alleging Bias Against Conservatives","https://www.allsides.com/story/devin-nunes-sues-twitter-users-over-250m-alleging-bias-against-conservatives","2019-03-18","Technology"
"Reports Conflict Regarding Plans to Keep US Troops in Syria","https://www.allsides.com/story/reports-conflict-regarding-plans-keep-us-troops-syria","2019-03-18","US Military"
"Facebook Scrambles to Remove Viral Content from New Zealand Mosque Shootings","https://www.allsides.com/story/facebook-scrambles-remove-viral-content-new-zealand-mosque-shootings","2019-03-18","Technology"
"Senator Kirsten Gillibrand Officially Announces Run for President","https://www.allsides.com/story/senator-kirsten-gillibrand-officially-announces-run-president","2019-03-17","Election: Presidential"
"Trump Issues Veto Over Emergency Declaration for Border Wall","https://www.allsides.com/story/trump-issues-veto-over-emergency-declaration-border-wall","2019-03-16","White House"
"Terrorist Attacks on New Zealand Mosques Kill 49","https://www.allsides.com/story/terrorist-attacks-new-zealand-mosques-kill-49","2019-03-15","Terrorism"
"Senate Blocks Trump's Emergency Declaration","https://www.allsides.com/story/senate-blocks-trumps-emergency-declaration","2019-03-14","US Senate"
"Former Texas Representative Beto O'Rourke Launches 2020 Presidential Campaign","https://www.allsides.com/story/former-texas-representative-beto-orourke-launches-2020-presidential-campaign","2019-03-14","Election: Presidential"
"Several Advertisers Pull Ads From Fox News Programs Hosted by Pirro, Carlson","https://www.allsides.com/story/several-advertisers-pull-ads-fox-news-programs-hosted-pirro-carlson","2019-03-13","Media Bias"
"Dozens Charged In College Admissions Cheating Scheme","https://www.allsides.com/story/dozens-charged-college-admissions-cheating-scheme","2019-03-13","General News"
"GOP Seeks to Limit Presidential Emergency Declaration Powers While Ensuring $3.6B for Trump's Border Wall","https://www.allsides.com/story/gop-seeks-limit-presidential-emergency-declaration-powers-while-ensuring-36b-trumps-border","2019-03-12","Politics"
"Nancy Pelosi Says She Opposes Pursuing Impeachment of Donald Trump","https://www.allsides.com/story/nancy-pelosi-says-she-opposes-pursing-impeachment-donald-trump","2019-03-12","US House"
"Trump Proposes $4.7 Trillion Budget for 2020","https://www.allsides.com/story/trump-proposes-47-trillion-budget-2020","2019-03-11","Budget - Debt"
"China Grounds Boeing 737 Max 8 Flights","https://www.allsides.com/story/china-grounds-boeing-737-max-8-flights","2019-03-11","Transportation"
"Trump to Demand Border Wall Money in Budget","https://www.allsides.com/story/trump-demand-border-wall-money-budget","2019-03-10","Budget - Debt"
"House Democrats Pass Election and Campaign Finance Overhaul Bill","https://www.allsides.com/story/house-democrats-pass-election-and-campaign-finance-overhaul-bill","2019-03-09","US House"
"Paul Manafort Sentenced to 47 Months in Prison","https://www.allsides.com/story/paul-manafort-sentenced-under-four-years-prison","2019-03-08","Politics"
"February 2019 Jobs Report","https://www.allsides.com/story/february-2019-jobs-report","2019-03-08","Economy and Jobs"
"House Votes to Condemn Bigotry After Remarks by Rep. Omar","https://www.allsides.com/story/house-votes-condemn-bigotry-after-remarks-rep-omar","2019-03-07","US House"
"Arizona Senator Martha McSally Says She Was Raped By A Superior Officer In The Air Force","https://www.allsides.com/story/arizona-senator-martha-mcsally-says-she-was-raped-superior-officer-air-force","2019-03-07","Sexual Misconduct"
"Trade Deficit Hits Record High: Good News or Bad News?","https://www.allsides.com/story/trade-deficit-hits-record-high","2019-03-06","Trade"
"Payments To PACs Established By Ocasio-Cortez Aide Come Under Scrutiny","https://www.allsides.com/story/payments-pacs-established-ocasio-cortez-aide-come-under-scrutiny","2019-03-06","Campaign Finance"
"House Delays Resolution Condemning Anti-Semitism","https://www.allsides.com/story/house-delays-resolution-condemning-anti-semitism","2019-03-06","US House"
"Migrant Border Crossings Hit 76,000 in February","https://www.allsides.com/story/migrant-border-crossings-hit-record-high","2019-03-05","Immigration"
"Senate Prepares For Showdown On National Emergency Declaration","https://www.allsides.com/story/senate-prepares-showdown-national-emergency-declaration","2019-03-05","US Senate"
